rank,ticker,company,sector,industry,latest_price,market_cap,momentum_20d,momentum_5d,volume_ratio,vol_5_50,rs_vs_iwm,bb_width,low_vol,near_high,pct_vs_sma20,pct_vs_sma50,atr_pct,sales_qq,eps_qq,fwd_pe,recom,target_upside,beta,earnings,short_float,review_flag,data_confidence,composite_score,composite_legacy,composite_dedup,rank_low_vol,rank_near_high,rank_vol_5_50
85,GRNT,Granite Ridge Resources Inc,Energy,Oil & Gas E&P,4.9,646310000.0,-4.11,-4.3,1.73,1.813,1.18,0.0696,-1.9898,-9.09,-3.31,-0.53,3.265,36.67,19.0,6.98,1.57,61.8,0.19,Aug 06/a,7.57,,HIGH,0.7582,0.6685,0.6877,0.7167919799498746,0.8577694235588973,0.8991228070175439
86,EPR,EPR Properties,Real Estate,REIT - Specialty,56.72,4350000000.0,-6.01,-3.55,2.15,1.577,-0.72,0.0763,-0.9234,-12.7,-4.27,-6.48,2.089,10.11,-12.68,18.55,2.23,14.2,1.02,Jul 29/a,9.04,,HIGH,0.7527,0.6757,0.7115,0.9624060150375939,0.7493734335839599,0.8208020050125313
87,DK,Delek US Holdings Inc,Energy,Oil & Gas Refining & Marketing,78.12,4780000000.0,9.3,4.9,4.66,2.209,14.59,0.1968,-3.8012,-5.04,5.76,15.2,5.701,47.83,254.25999999999996,9.38,2.0,-4.0,0.59,Aug 05/b,9.85,,HIGH,0.7479,0.7954,0.7757,0.23057644110275688,0.9523809523809523,0.9586466165413534
88,SHO,Sunstone Hotel Investors Inc,Real Estate,REIT - Hotel & Motel,11.04,2049999999.9999998,-2.21,0.45,2.23,1.045,3.08,0.0528,-0.8514,-8.46,-0.44,-2.11,1.818,6.67,304.06,48.6,2.5,7.6,1.02,Aug 06/b,7.37,,HIGH,0.7435,0.7698,0.6544,0.9786967418546366,0.87468671679198,0.35526315789473684
89,DEC,Diversified Energy Co,Energy,Oil & Gas Integrated,13.73,1090000000.0,-6.34,-7.73,3.89,1.533,-1.05,0.134,-2.0276,-13.59,-7.69,-2.8,3.424,,,3.21,1.15,79.0,0.34,Aug 05/a,9.2,,HIGH,0.7433,0.6931,0.7628,0.7042606516290727,0.7218045112781954,0.8057644110275689
90,IDYA,Ideaya Biosciences Inc,Healthcare,Biotechnology,38.41,3710000000.0,-3.18,1.0,3.25,1.341,2.11,0.1482,-2.0909,-10.0,-2.56,2.04,3.174,,-39.46,,1.13,36.4,-0.04,Aug 04/b,11.22,,HIGH,0.7426,0.7157,0.7534,0.6879699248120301,0.8289473684210527,0.6704260651629073
91,VRDN,Viridian Therapeutics Inc,Healthcare,Biotechnology,22.0,2490000000.0,-9.43,-0.9,3.95,1.33,-4.14,0.1529,-2.0538,-11.5,-4.01,1.73,4.083,278.67,4.56,,1.0,64.0,1.1,Aug 06/b,18.35,,HIGH,0.7425,0.6194,0.7663,0.6979949874686717,0.7882205513784462,0.6604010025062657
92,ADAM,Adamas Trust Inc,Real Estate,REIT - Mortgage,8.91,800830000.0,-10.36,-1.22,3.49,1.598,-5.07,0.1568,-1.108,-14.0,-6.13,-5.4,2.245,34.52,1318.13,8.62,2.33,9.4,1.25,Jul 29/a,3.72,,HIGH,0.7424,0.5898,0.7874,0.9298245614035088,0.7117794486215538,0.8270676691729323
93,DRH,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel,12.24,2510000000.0,-4.52,-0.65,2.0,1.38,0.77,0.0923,-1.3501,-11.24,-0.92,-2.23,2.509,4.11,137.81,18.38,2.07,14.1,1.03,Jul 30/a,6.9,,HIGH,0.7415,0.6754,0.6942,0.893483709273183,0.7957393483709273,0.7023809523809523
94,VTS,Vitesse Energy Inc,Energy,Oil & Gas E&P,17.51,737250000.0,2.34,-5.4,1.79,1.436,7.63,0.1303,-1.725,-8.04,-1.04,5.38,3.006,11.31,30.25,70.04,1.8,17.6,0.58,Aug 03/a,21.61,,HIGH,0.7412,0.6928,0.7135,0.8032581453634086,0.8878446115288221,0.7456140350877193
95,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,27.29,4700000000.0,-7.49,-0.84,3.57,1.353,-2.2,0.1468,-1.7891,-11.85,-3.93,-1.15,2.824,16.4,15.24,29.8,1.65,24.2,0.86,Aug 04/a,5.73,,HIGH,0.7405,0.6522,0.7617,0.7832080200501254,0.7744360902255639,0.6829573934837093
96,IKT,Inhibikase Therapeutics Inc,Healthcare,Biotechnology,2.3,320930000.0,-3.77,-3.77,6.07,1.431,1.52,0.133,-2.5072,-11.88,-4.35,-1.37,4.469,,-1.81,,1.0,160.9,0.89,Aug 11/a,17.99,,HIGH,0.74,0.7672,0.7442,0.5739348370927319,0.7725563909774437,0.7393483709273183
97,TSLX,Sixth Street Specialty Lending Inc,Financial,Asset Management,17.9,1710000000.0,-4.74,-1.92,1.77,1.204,0.55,0.0901,-1.17,-7.06,-2.43,-0.81,2.271,30.8,-32.11,9.78,1.27,10.4,0.67,Aug 04/a,5.67,,HIGH,0.7358,0.6449,0.6529,0.9235588972431078,0.9197994987468672,0.5426065162907269
98,PSEC,Prospect Capital Corp,Financial,Asset Management,2.18,1140000000.0,-6.44,-0.91,2.58,1.132,-1.15,0.0967,-1.6285,-8.02,-2.66,-2.45,2.49,208.67,85.04,6.23,5.0,-8.3,0.8,Aug 20/a,4.42,,HIGH,0.7354,0.6885,0.6667,0.8270676691729323,0.8909774436090225,0.46115288220551376
99,EWTX,Edgewise Therapeutics Inc,Healthcare,Biotechnology,45.32,4920000000.0,2.58,1.57,1.58,1.669,7.87,0.1211,-2.2178,-6.58,3.48,6.24,4.517,,-54.67999999999999,,1.31,14.1,0.33,Aug 06/b,11.41,,HIGH,0.7339,0.6789,0.6823,0.6478696741854637,0.9273182957393483,0.8609022556390977
100,CRC,California Resources Corp,Energy,Oil & Gas E&P,54.07,4800000000.0,1.56,-3.08,2.03,1.365,6.85,0.1252,-1.967,-6.79,-0.31,1.5,3.231,33.01,199.18,13.39,1.38,40.0,1.01,Aug 10/b,4.62,,HIGH,0.733,0.7246,0.6872,0.7243107769423559,0.9210526315789473,0.6904761904761905
