Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-10-16,TOTAL,,,,,,0.0,0.0,,190.79,190.79
2025-10-17,TOTAL,,,,,,0.0,0.0,,190.79,190.79
2025-10-20,TKNO,9.0,5.23,47.07000000000001,4.2,5.75,51.75,4.68,HOLD,,
2025-10-20,SPRO,31.0,2.22,68.82000000000001,1.8,2.29,70.99,2.17,HOLD,,
2025-10-20,MAMA,6.0,10.7,64.19999999999999,9.0,10.47,62.82,-1.38,HOLD,,
2025-10-20,TOTAL,,,,,,185.56,5.47,,10.7,196.26
2025-10-21,TKNO,9.0,5.23,47.07000000000001,4.2,5.62,50.58,3.51,HOLD,,
2025-10-21,SPRO,31.0,2.22,68.82000000000001,1.8,2.37,73.47,4.65,HOLD,,
2025-10-21,MAMA,6.0,10.7,64.19999999999999,9.0,10.3,61.8,-2.4,HOLD,,
2025-10-21,TOTAL,,,,,,185.85,5.76,,10.7,196.55
2025-10-22,TKNO,9.0,5.23,47.07000000000001,4.2,5.55,49.95,2.88,HOLD,,
2025-10-22,SPRO,31.0,2.22,68.82000000000001,1.95,2.25,69.75,0.93,HOLD,,
2025-10-22,MAMA,6.0,10.7,64.19999999999999,9.0,10.61,63.66,-0.54,HOLD,,
2025-10-22,TOTAL,,,,,,183.36,3.27,,10.7,194.06
2025-10-23,TKNO,9.0,5.23,47.07000000000001,4.2,5.76,51.84,4.77,HOLD,,
2025-10-23,MAMA,6.0,10.7,64.19999999999999,9.0,10.8,64.8,0.6,HOLD,,
2025-10-23,TOTAL,,,,,,116.64,5.37,,80.14,196.78
2025-10-24,TKNO,9.0,5.23,47.07000000000001,4.2,5.68,51.12,4.05,HOLD,,
2025-10-24,MAMA,6.0,10.7,64.19999999999999,9.0,10.94,65.64,1.44,HOLD,,
2025-10-24,TOTAL,,,,,,116.76,5.49,,75.8,192.56
2025-10-27,MAMA,4.0,10.7,42.8,9.0,10.98,43.92,1.12,HOLD,,
2025-10-27,APYX,30.0,3.21,96.3,2.8,3.13,93.9,-2.4,HOLD,,
2025-10-27,ETON,6.0,18.5,111.0,16.0,18.48,110.88,-0.12,HOLD,,
2025-10-27,TOTAL,,,,,,248.7,-1.4,,47.2,295.9
2025-10-28,APYX,30.0,3.21,96.3,2.8,3.1,93.0,-3.3,HOLD,,
2025-10-28,ETON,6.0,18.5,111.0,16.0,18.6,111.6,0.6,HOLD,,
2025-10-28,CURI,19.0,4.55,86.45,4.0,4.45,84.55,-1.9,HOLD,,
2025-10-28,TOTAL,,,,,,289.15,-4.6,,4.67,293.82
2025-10-29,APYX,30.0,3.21,96.3,2.8,2.95,88.5,-7.8,HOLD,,
2025-10-29,ETON,6.0,18.5,111.0,16.0,18.31,109.86,-1.14,HOLD,,
2025-10-29,CURI,19.0,4.55,86.45,4.0,4.7,89.3,2.85,HOLD,,
2025-10-29,TOTAL,,,,,,287.66,-6.09,,4.67,292.33
2025-10-30,APYX,30.0,3.21,96.3,2.8,2.95,88.5,-7.8,HOLD,,
2025-10-30,ETON,6.0,18.5,111.0,16.0,18.25,109.5,-1.5,HOLD,,
2025-10-30,CURI,19.0,4.55,86.45,4.0,4.42,83.98,-2.47,HOLD,,
2025-10-30,TOTAL,,,,,,281.98,-11.77,,4.67,286.65
2025-10-31,APYX,30.0,3.21,96.3,2.8,3.03,90.9,-5.4,HOLD,,
2025-10-31,ETON,6.0,18.5,111.0,16.0,18.01,108.06,-2.94,HOLD,,
2025-10-31,TOTAL,,,,,,198.96,-8.34,,89.22,288.18
2025-11-03,APYX,30.0,3.21,96.3,2.8,3.2,96.0,-0.3,HOLD,,
2025-11-03,ETON,6.0,18.5,111.0,16.0,17.96,107.76,-3.24,HOLD,,
2025-11-03,TNXP,4.0,18.7,74.8,16.0,18.75,75.0,0.2,HOLD,,
2025-11-03,TOTAL,,,,,,278.76,-3.34,,14.42,293.18
2025-11-04,APYX,30.0,3.21,96.3,2.8,3.24,97.2,0.9,HOLD,,
2025-11-04,ETON,6.0,18.5,111.0,16.0,18.45,110.7,-0.3,HOLD,,
2025-11-04,TNXP,4.0,18.7,74.8,16.0,17.53,70.12,-4.68,HOLD,,
2025-11-04,TOTAL,,,,,,278.02,-4.08,,14.42,292.44
2025-11-05,APYX,30.0,3.21,96.3,2.8,3.14,94.2,-2.1,HOLD,,
2025-11-05,ETON,6.0,18.5,111.0,16.0,19.25,115.5,4.5,HOLD,,
2025-11-05,TNXP,4.0,18.7,74.8,16.0,18.12,72.48,-2.32,HOLD,,
2025-11-05,TOTAL,,,,,,282.18,0.08,,14.42,296.6
2025-11-06,ETON,6.0,18.5,111.0,16.0,19.14,114.84,3.84,HOLD,,
2025-11-06,TNXP,4.0,18.7,74.8,16.0,17.41,69.64,-5.16,HOLD,,
2025-11-06,TOTAL,,,,,,184.48,-1.32,,109.82,294.3
2025-11-07,ETON,6.0,18.5,111.0,16.0,16.9,101.4,-9.6,HOLD,,
2025-11-07,CAPR,10.0,6.28,62.8,5.0,5.93,59.3,-3.5,HOLD,,
2025-11-07,TOTAL,,,,,,160.7,-13.1,,115.02,275.72
2025-11-10,ETON,6.0,18.5,111.0,14.5,16.92,101.52,-9.48,HOLD,,
