Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-12-10,SGML,12.0,10.211142857146664,122.53371428575996,9.2,11.56,138.72,16.19,HOLD,,
2025-12-10,MIST,14.0,2.5999,36.3986,1.8,2.67,37.38,0.98,HOLD,,
2025-12-10,HDSN,9.0,7.0294,63.2646,5.9,7.19,64.71,1.45,HOLD,,
2025-12-10,FCEL,9.0,8.3,74.7,6.8,8.46,76.14,1.44,HOLD,,
2025-12-10,TOTAL,,,,,,350.61,25.92,,20.36,370.97
2025-12-11,ATRA,2.0,13.9,27.8,10.0,17.82,35.64,7.84,HOLD,,
2025-12-11,SGML,12.0,10.211142857146664,122.53371428575996,9.2,11.7,140.4,17.87,HOLD,,
2025-12-11,MIST,14.0,2.5999,36.3986,1.8,2.95,41.3,4.9,HOLD,,
2025-12-11,HDSN,9.0,7.0294,63.2646,5.9,7.42,66.78,3.52,HOLD,,
2025-12-11,FCEL,9.0,8.3,74.7,6.8,8.75,78.75,4.05,HOLD,,
2025-12-11,TOTAL,,,,,,362.87,38.18,,20.36,383.23
2025-12-12,ATRA,2.0,13.9,27.8,10.0,18.0,36.0,8.2,HOLD,,
2025-12-12,SGML,12.0,10.211142857146664,122.53371428575996,9.2,10.93,131.16,8.63,HOLD,,
2025-12-12,HDSN,9.0,7.0294,63.2646,5.9,7.46,67.14,3.88,HOLD,,
2025-12-12,FCEL,9.0,8.3,74.7,6.8,8.76,78.84,4.14,HOLD,,
2025-12-12,MIST,11.0,2.355,25.905,1.6,2.41,26.51,0.61,HOLD,,
2025-12-12,TOTAL,,,,,,339.65,25.46,,19.8,359.44
2025-12-15,ATRA,2.0,13.9,27.8,10.0,17.95,35.9,8.1,HOLD,,
2025-12-15,SGML,10.0,10.211142857146664,102.11142857146665,9.2,10.33,103.3,1.19,HOLD,,
2025-12-15,HDSN,9.0,7.0294,63.2646,5.9,7.36,66.24,2.98,HOLD,,
2025-12-15,FCEL,9.0,8.3,74.7,6.8,8.36,75.24,0.54,HOLD,,
2025-12-15,ANIX,10.0,3.376,33.76,2.5,3.26,32.6,-1.16,HOLD,,
2025-12-15,TOTAL,,,,,,313.28,11.65,,35.47,348.75
2025-12-16,ATRA,2.0,13.9,27.8,10.0,17.58,35.16,7.36,HOLD,,
2025-12-16,SGML,10.0,10.211142857146664,102.11142857146665,9.2,10.23,102.3,0.19,HOLD,,
2025-12-16,HDSN,9.0,7.0294,63.2646,5.9,7.41,66.69,3.43,HOLD,,
2025-12-16,FCEL,9.0,8.3,74.7,6.8,8.47,76.23,1.53,HOLD,,
2025-12-16,ANIX,10.0,3.376,33.76,2.5,3.57,35.7,1.94,HOLD,,
2025-12-16,TOTAL,,,,,,316.08,14.45,,35.47,351.55
2025-12-17,ATRA,2.0,13.9,27.8,10.0,17.18,34.36,6.56,HOLD,,
2025-12-17,SGML,10.0,10.211142857146664,102.11142857146665,9.2,10.68,106.8,4.69,HOLD,,
2025-12-17,HDSN,9.0,7.0294,63.2646,5.9,7.36,66.24,2.98,HOLD,,
2025-12-17,FCEL,9.0,8.3,74.7,6.8,7.9,71.1,-3.6,HOLD,,
2025-12-17,ANIX,10.0,3.376,33.76,2.5,3.27,32.7,-1.06,HOLD,,
2025-12-17,TOTAL,,,,,,311.2,9.57,,35.47,346.67
2025-12-18,ATRA,2.0,13.9,27.8,10.0,17.23,34.46,6.66,HOLD,,
2025-12-18,SGML,10.0,10.211142857146664,102.11142857146665,9.2,11.61,116.1,13.99,HOLD,,
2025-12-18,HDSN,9.0,7.0294,63.2646,5.9,7.32,65.88,2.62,HOLD,,
2025-12-18,FCEL,9.0,8.3,74.7,6.8,9.64,86.76,12.06,HOLD,,
2025-12-18,ANIX,10.0,3.376,33.76,2.5,3.24,32.4,-1.36,HOLD,,
