Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-10-22,LOVE,,,4.9130113448,0.0265388864,MANUAL SELL LIMIT - ,0.33173608,14.89
2025-10-22,SPCE,,,1.3889925215999999,-0.08052130560000004,MANUAL SELL LIMIT - ,0.33550544,3.9
