ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap,data_confidence,momentum_20d,momentum_5d,volume_ratio,rs_vs_iwm,bb_width,above_sma20,pct_vs_sma20,above_sma50,pct_vs_sma50,atr_pct,last_range_pct,low_vol,near_high,vol_5_50,breakout_session,breakout_move_pct,earnings_sessions_ago,post_earnings_move_pct,latest_price,avg_dollar_volume,gate_fail,review_flag,target_upside,rank_low_vol,rank_near_high,rank_squeeze,rank_vol_5_50,rank_vol_ratio,rank_vs_sma50,mom_rank,composite_score,composite_legacy,composite_dedup
CLBK,Columbia Financial Inc,Financial,Banks - Regional,44.57,33.09,17.88,5.15,0.0,4.19,7.25,27.190000000000005,45.91,0.26,-3.5000000000000004,1.0,5340000.0,3.3,11.58,Jul 30/a,14.17,3120000000.0,HIGH,-1.78,1.58,4.23,3.51,0.0372,False,-0.18,True,3.48,1.928,1.554,-0.856,-3.5,1.102,23.0,-0.86,35.0,7.12,11.58,48282749.0,,,22.4,0.9761904761904762,0.9699248120300752,0.9849624060150376,0.4197994987468672,0.9385964912280702,0.8170426065162907,0.7412280701754386,0.8511,0.8736,0.7879
WKC,World Kinect Corp,Energy,Oil & Gas Refining & Marketing,,14.04,115.48,50.47999999999999,-9.0,6.18,16.84,15.52,59.0,1.22,-12.740000000000002,3.67,1190000.0,3.57,35.95,Jul 23/a,37.67,1840000000.0,HIGH,0.0,2.68,3.77,5.29,0.0338,True,1.24,False,-1.74,2.649,2.17,-0.8469,-12.74,1.493,40.0,-0.88,40.0,-0.88,35.95,40156011.0,,,4.8,0.9799498746867168,0.7481203007518797,0.9931077694235589,0.7794486215538847,0.9135338345864662,0.6616541353383458,0.8101503759398496,0.846,0.8961,0.8336
FULT,Fulton Financial Corp,Financial,Banks - Regional,11.21,10.16,-1.58,7.580000000000001,-2.57,6.16,4.93,2.18,20.31,0.79,-7.249999999999999,2.5,1770000.0,2.83,23.4,Jul 22/a,25.69,4470000000.0,HIGH,-1.02,-1.47,3.16,4.27,0.0337,False,-0.94,False,-2.89,1.838,1.368,-0.911,-7.25,1.419,46.0,-4.18,41.0,-3.54,23.4,37429815.0,,,9.8,0.9661654135338346,0.9135338345864662,0.9949874686716792,0.7293233082706767,0.8533834586466166,0.6152882205513784,0.7725563909774437,0.8454,0.8635,0.791
GNW,Genworth Financial Inc,Financial,Insurance - Life,19.08,8.89,-0.4099999999999999,2.29,-3.2199999999999998,-2.77,2.57,12.29,25.94,0.87,-5.99,1.0,3300000.0,3.11,10.05,Aug 05/a,11.5,3800000000.0,HIGH,1.72,-5.19,2.39,7.01,0.0976,False,-1.03,True,0.55,2.829,2.488,-1.5824,-5.99,2.112,5.0,-4.19,31.0,3.72,10.05,43713203.0,,,14.4,0.8383458646616542,0.9367167919799498,0.849624060150376,0.9511278195488722,0.6885964912280702,0.7556390977443609,0.8521303258145363,0.8367,0.8023,0.8084
LTC,LTC Properties Inc,Real Estate,REIT - Healthcare Facilities,15.6,23.03,74.05,63.83,1.24,10.02,4.8,17.02,10.89,0.54,-2.39,2.11,577540.0,2.34,42.56,Aug 05/a,45.25,2290000000.0,HIGH,5.69,-0.19,2.45,10.98,0.1037,True,2.04,True,4.03,2.219,2.35,-1.2378,-2.39,1.429,2.0,-1.21,31.0,9.92,42.56,23185963.0,,,6.3,0.9160401002506265,0.9887218045112782,0.8220551378446115,0.7374686716791979,0.7117794486215538,0.8270676691729323,0.9047619047619048,0.8339,0.8221,0.7981
SFBS,ServisFirst Bancshares Inc,Financial,Banks - Regional,14.14,11.47,39.58,6.34,-0.95,,5.09,3.03,14.66,0.9,-9.97,1.0,613050.0,3.53,41.45,Jul 20/a,48.33,4530000000.0,HIGH,-4.36,-2.01,3.51,0.93,0.0746,False,-2.49,False,-4.81,2.475,2.835,-1.3687,-9.97,1.811,26.0,-8.35,43.0,-3.13,41.45,26115007.0,,,16.6,0.8897243107769424,0.8308270676691729,0.9273182957393484,0.8972431077694235,0.8865914786967418,0.5325814536340853,0.6365914786967418,0.8274,0.7988,0.8015
EBC,Eastern Bankshares Inc,Financial,Banks - Regional,12.24,10.14,-4.73,26.36,-0.62,11.27,7.43,4.85,14.77,0.7,-9.15,1.5,3000000.0,3.03,21.6,Jul 23/a,25.13,4940000000.0,HIGH,-5.01,-1.1,4.02,0.28,0.0699,False,-1.77,False,-4.47,2.336,1.806,-1.0675,-9.15,1.453,25.0,-8.16,40.0,-4.51,21.6,49366960.0,,,16.3,0.9360902255639098,0.8521303258145363,0.9385964912280702,0.7556390977443609,0.931704260651629,0.5457393483709273,0.5983709273182958,0.8266,0.8004,0.7923
MRP,Millrose Properties Inc,Real Estate,REIT - Residential,10.07,8.86,11.59,32.11,2.03,1.7000000000000002,4.74,1.6500000000000001,-0.65,0.38,-17.75,1.0,1340000.0,4.2,28.87,Aug 04/b,37.17,4450000000.0,HIGH,-5.0,-2.0,4.3,0.29,0.1169,False,-4.61,False,-2.27,2.528,1.957,-1.4713,-10.26,1.842,11.0,-6.45,33.0,0.77,28.87,39190499.0,,,28.7,0.8696741854636592,0.8208020050125313,0.7706766917293233,0.9110275689223057,0.943609022556391,0.6403508771929824,0.6008771929824561,0.826,0.7546,0.8412
BBT,Beacon Financial Corp,Financial,Banks - Regional,22.33,9.28,16.29,83.94,0.0,-0.58,4.85,4.16,6.72,0.58,-6.09,2.14,849070.0,2.15,30.83,Jul 29/a,34.83,2580000000.0,HIGH,-2.59,-1.69,2.21,2.7,0.043,False,-1.53,False,-1.12,2.21,1.46,-1.0979,-5.78,1.478,24.0,-3.87,36.0,3.32,30.83,25803507.0,,,13.0,0.931077694235589,0.9429824561403509,0.9799498746867168,0.7719298245614035,0.6234335839598998,0.6892230576441103,0.7080200501253133,0.8231,0.7642,0.7539
GRAL,GRAIL Inc,Healthcare,Diagnostics & Research,,,19.7,25.72,-8.32,5.51,20.29,26.72,66.64,3.27,-32.03,2.18,684620.0,4.39,80.77,Aug 05/a,77.7,3610000000.0,HIGH,1.55,6.94,3.53,6.84,0.112,True,2.3,True,9.21,4.684,5.757,-2.9827,-5.52,2.382,18.0,5.47,31.0,27.4,80.77,67033265.0,,,-3.8,0.4273182957393484,0.949874686716792,0.7850877192982456,0.9724310776942355,0.8903508771929824,0.9110275689223057,0.8483709273182958,0.8227,0.842,0.8003
NMIH,NMI Holdings Inc,Financial,Insurance - Specialty,8.44,7.87,13.750000000000002,8.12,-12.17,0.4699999999999999,2.47,14.46,15.17,0.55,-8.22,1.57,526660.0,2.51,42.9,Jul 30/a,49.17,3230000000.0,HIGH,-5.0,-2.77,2.5,0.29,0.0722,False,-3.32,False,-2.4,2.268,2.051,-0.7878,-8.22,1.477,26.0,-4.41,35.0,-1.24,42.9,23347212.0,,,14.6,0.9899749373433584,0.8834586466165414,0.931704260651629,0.7706766917293233,0.7218045112781954,0.6378446115288221,0.6008771929824561,0.8226,0.7364,0.7801
BXDC,Blackstone Digital Infrastructure Trust Inc,Real Estate,REIT - Specialty,,,,,103.27,95.05,2.42,-12.689999999999998,,,-15.590000000000002,2.17,1050000.0,16.58,19.33,Aug 04/b,23.58,1950000000.0,HIGH,-5.89,-0.97,8.4,-0.6,0.1018,False,-3.92,False,-4.68,2.864,2.535,-1.622,-13.43,3.971,17.0,-6.53,33.0,-4.31,19.33,40882723.0,,,22.0,0.8283208020050126,0.7286967418546366,0.8358395989974937,0.9949874686716792,0.9974937343358395,0.5363408521303258,0.5588972431077694,0.8203,0.7736,0.8393
TCPC,BlackRock TCP Capital Corp,Financial,Asset Management,,9.82,111.11999999999999,270.36,0.0,,5.4,17.3,10.8,1.05,-40.03,3.5,777450.0,1.96,4.0,Aug 06/b,4.33,335610000.0,HIGH,-0.74,-1.23,2.08,4.55,0.0706,False,-1.49,True,6.55,2.696,3.0,-1.6179,-5.88,1.466,26.0,0.0,31.0,14.29,4.0,2965653.0,,,8.3,0.8308270676691729,0.9398496240601504,0.93734335839599,0.7650375939849624,0.5739348370927319,0.868421052631579,0.7819548872180451,0.8192,0.7662,0.7596
BFH,Bread Financial Holdings Inc,Financial,Credit Services,8.48,7.98,20.14,3.66,-2.26,-9.33,8.3,5.98,47.58,1.13,-5.24,2.06,581640.0,2.36,108.53,Jul 23/b,117.69,4170000000.0,HIGH,2.47,-0.64,2.71,7.76,0.071,True,1.29,True,1.96,3.33,1.824,-1.8702,-5.24,1.386,25.0,-2.78,41.0,6.54,108.53,54332668.0,,REVIEW,8.4,0.7644110275689223,0.9511278195488722,0.9360902255639098,0.7080200501253133,0.768796992481203,0.7869674185463659,0.8659147869674185,0.8192,0.8578,0.757
CURB,Curbline Properties Corp,Real Estate,REIT - Retail,104.23,80.43,-35.79,52.98,-15.61,17.65,13.0,-5.12,8.25,0.59,-11.88,1.6,1450000.0,3.98,28.33,Jul 28/b,33.83,3260000000.0,HIGH,-3.61,-2.58,3.91,1.68,0.0639,False,-3.76,False,-5.78,2.218,1.553,-0.8276,-11.88,1.501,43.0,-9.43,38.0,-10.18,28.33,43292088.0,,,19.4,0.9824561403508771,0.7725563909774437,0.9523809523809523,0.7850877192982456,0.9223057644110275,0.4974937343358396,0.6641604010025063,0.8187,0.8281,0.7968
WSBC,Wesbanco Inc,Financial,Banks - Regional,11.42,10.18,59.650000000000006,1.24,-1.49,11.43,7.43,8.49,18.55,0.7,-8.48,2.0,1270000.0,2.2,39.37,Jul 21/a,44.5,3780000000.0,HIGH,-3.65,-2.5,2.74,1.64,0.057,False,-2.29,False,-3.68,2.155,2.108,-1.1264,-8.48,1.494,27.0,-6.68,42.0,-2.5,39.37,41107211.0,,,13.0,0.9273182957393483,0.8734335839598998,0.9674185463659148,0.7807017543859649,0.7738095238095238,0.5795739348370927,0.6629072681704261,0.817,0.7875,0.7654
CGEM,Cullinan Therapeutics Inc,Healthcare,Biotechnology,,,27.0,,-0.34,6.7,21.39,40.25,61.15999999999999,-0.07,-9.1,1.0,825880.0,3.94,21.08,Aug 06/b,34.25,1360000000.0,HIGH,-2.77,3.33,3.57,2.52,0.1412,False,-2.55,True,7.34,4.679,3.89,-2.1247,-9.1,1.962,18.0,-3.39,31.0,19.7,21.08,19485171.0,,,62.5,0.6791979949874687,0.8558897243107769,0.6478696741854637,0.9348370927318296,0.8941102756892231,0.8822055137844611,0.6954887218045113,0.8157,0.7408,0.8476
LILAK,Liberty Latin America Ltd,Communication Services,Telecom Services,,36.43,93.94,1.46,6.41,,5.42,75.37,53.09,0.62,-5.78,2.67,1610000.0,2.46,8.4,Aug 05/a,9.14,1640000000.0,HIGH,0.12,-4.55,3.18,5.41,0.0721,False,-2.01,True,2.45,2.967,5.0,-1.7674,-5.78,1.219,6.0,-3.23,31.0,1.69,8.4,10679543.0,,,8.8,0.7907268170426065,0.9429824561403509,0.9335839598997494,0.5607769423558897,0.8571428571428571,0.7969924812030075,0.8201754385964912,0.8137,0.8653,0.7514
IRDM,Iridium Communications Inc,Communication Services,Telecom Services,53.29,34.7,-56.08,3.84,-2.79,-2.81,2.78,4.94,77.7,0.85,-18.21,2.83,1720000.0,2.88,46.77,Jul 22/b,48.0,4960000000.0,HIGH,-4.51,1.28,4.79,0.78,0.0471,False,-0.87,False,-2.03,1.981,2.01,-1.3801,-18.21,1.605,25.0,-6.05,42.0,-0.19,46.77,48851526.0,,,2.6,0.8884711779448622,0.5802005012531328,0.974937343358396,0.8283208020050126,0.9542606516290727,0.6528822055137845,0.6284461152882206,0.8132,0.8301,0.831
MD,Pediatrix Medical Group Inc,Healthcare,Medical Care Facilities,12.45,10.62,6.619999999999999,4.04,-2.73,0.49,6.02,9.83,30.37,0.61,-7.19,2.71,801860.0,2.57,25.93,Aug 04/b,26.33,2109999999.9999998,HIGH,-2.41,-3.64,2.74,2.88,0.0615,False,-2.64,False,-1.58,3.408,3.047,-1.1838,-7.19,1.288,8.0,-3.75,33.0,4.94,25.93,19908956.0,,,1.5,0.9210526315789473,0.9160401002506265,0.9548872180451128,0.62531328320802,0.7738095238095238,0.6647869674185464,0.7142857142857143,0.8093,0.8043,0.7462
LADR,Ladder Capital Corp,Real Estate,REIT - Mortgage,22.71,8.43,-15.15,15.509999999999998,-0.22,3.8699999999999997,5.18,-7.55,-5.7,0.99,-17.86,1.29,1140000.0,2.53,9.43,Jul 23/b,12.0,1200000000.0,HIGH,-4.94,-1.98,2.7,0.35,0.0646,False,-3.23,False,-3.61,1.772,1.06,-0.6613,-10.95,1.429,22.0,-4.84,41.0,-1.15,9.43,10315164.0,,,27.3,0.9987468671679198,0.8045112781954887,0.9486215538847118,0.7374686716791979,0.7656641604010025,0.5845864661654135,0.6058897243107769,0.8066,0.7566,0.7716
UMH,UMH Properties Inc,Real Estate,REIT - Residential,125.32,95.09,72.58,7.5,0.05,-2.73,4.86,4.18,8.88,0.97,-6.4399999999999995,1.5,657080.0,2.51,15.69,Aug 05/a,18.93,1340000000.0,HIGH,-4.97,0.32,2.16,0.32,0.1036,False,-2.2,False,-1.03,1.694,0.829,-0.8069,-6.44,1.524,17.0,-5.25,31.0,3.22,15.69,12263600.0,,,20.7,0.9862155388471178,0.9298245614035088,0.8233082706766918,0.7982456140350878,0.5977443609022557,0.6917293233082706,0.6027568922305765,0.8045,0.6674,0.7685
PRDO,Perdoceo Education Corp,Consumer Defensive,Education & Training Services,11.82,10.47,22.43,1.8000000000000003,-13.100000000000001,2.02,7.29,1.6200000000000003,-5.49,0.72,-15.45,1.0,693740.0,2.63,32.55,Aug 06/a,44.0,2040000000.0,HIGH,-1.42,-1.54,3.05,3.87,0.0348,False,-1.76,False,-0.47,2.822,3.472,-0.8386,-12.22,1.184,51.0,-7.21,30.0,0.31,32.55,19779003.0,,,35.2,0.981203007518797,0.7631578947368421,0.9912280701754386,0.525062656641604,0.8370927318295739,0.7105263157894737,0.7550125313283208,0.8014,0.8505,0.7635
REI,Ring Energy Inc,Energy,Oil & Gas E&P,,5.9,173.32,26.729999999999997,1.2,19.57,3.02,28.07,-3.3099999999999996,0.97,-27.0,1.67,4670000.0,2.74,1.46,Aug 05/a,2.08,380390000.0,HIGH,-1.35,-3.95,3.07,3.94,0.1046,False,-1.75,True,7.07,4.012,1.37,-2.4471,-7.59,1.515,4.0,-3.95,31.0,18.7,1.46,6210982.0,,,42.5,0.5864661654135338,0.9010025062656641,0.8145363408521303,0.7894736842105263,0.8402255639097744,0.87468671679198,0.7606516290726817,0.8011,0.8007,0.7727
SLDE,Slide Insurance Holdings Inc,Financial,Insurance - Property & Casualty,6.08,6.74,90.44,47.86,-11.61,9.22,8.77,50.47999999999999,44.22,-0.02,-6.7299999999999995,1.5,1250000.0,3.5,24.95,Jul 28/a,26.0,2910000000.0,HIGH,9.72,-4.88,3.02,15.01,0.1724,True,2.54,True,11.78,3.26,3.287,-2.2167,-6.73,1.986,6.0,2.04,37.0,16.59,24.95,35849011.0,,,4.2,0.649749373433584,0.9223057644110275,0.5281954887218046,0.9360902255639098,0.831453634085213,0.9360902255639098,0.9530075187969925,0.8006,0.7891,0.8383
TALO,Talos Energy Inc,Energy,Oil & Gas E&P,,17.61,183.96,56.53,-10.08,0.88,7.54,23.53,16.27,0.42,-9.16,1.69,2009999.9999999998,2.55,17.01,Aug 04/a,20.18,2840000000.0,HIGH,-2.63,-3.68,2.54,2.66,0.1001,False,-1.21,True,7.26,3.8,2.528,-2.173,-9.16,1.558,4.0,-3.68,32.0,19.96,17.01,34821017.0,,,18.6,0.6666666666666666,0.850250626566416,0.8421052631578947,0.8126566416040101,0.7330827067669173,0.8784461152882206,0.7055137844611529,0.7972,0.7548,0.7727
ATRC,Atricure Inc,Healthcare,Medical Instruments & Supplies,268.36,138.78,241.25,12.83,-3.6799999999999997,4.46,8.48,101.73999999999998,100.14,1.24,-2.5,1.4,979790.0,8.85,58.1,Jul 23/a,53.33,2960000000.0,HIGH,18.62,4.14,6.23,23.91,0.2717,True,10.94,True,30.73,3.816,3.27,-2.4297,-2.97,2.626,6.0,9.71,40.0,76.06,58.1,76089536.0,,,-8.2,0.5889724310776943,0.9824561403508771,0.24060150375939848,0.9774436090225563,0.9893483709273183,0.993734335839599,0.9862155388471178,0.7954,0.7635,0.8874
FFBC,First Financial Bancorp,Financial,Banks - Regional,11.34,9.5,-0.34,12.98,-5.54,1.07,5.31,1.52,20.1,0.94,-11.46,2.29,956220.0,2.65,32.09,Jul 21/a,37.57,3370000000.0,HIGH,-2.85,-1.99,3.21,2.44,0.0377,False,-1.52,False,-4.37,1.774,1.34,-0.9111,-11.48,1.272,47.0,-6.25,42.0,-5.51,32.09,25642860.0,,,17.1,0.9649122807017544,0.7894736842105263,0.9837092731829574,0.6090225563909775,0.8659147869674185,0.5532581453634086,0.6923558897243107,0.7944,0.8318,0.7483
HTFL,Heartflow Inc,Healthcare,Health Information Services,,,-65.19,47.57,-10.23,33.69,9.38,50.85999999999999,96.02,2.73,-1.9900000000000002,1.5,1930000.0,3.43,50.75,Aug 13/a,44.78,4410000000.0,HIGH,2.01,2.44,3.07,7.3,0.1112,True,3.53,True,36.03,5.085,5.795,-3.2973,-2.82,1.561,1.0,2.38,25.0,63.66,50.75,106047142.0,,,-11.8,0.3358395989974937,0.9837092731829574,0.7894736842105263,0.8145363408521303,0.8402255639097744,1.0,0.8571428571428571,0.794,0.8318,0.7477
DC,Dakota Gold Corp,Basic Materials,Gold,,,-8.15,,-0.56,3.05,6.64,23.94,28.63,1.24,-15.72,1.0,1460000.0,3.34,6.11,Sep 02,12.09,819800000.0,HIGH,-0.65,4.8,3.58,4.64,0.1157,True,1.61,True,11.38,4.697,2.619,-2.8417,-5.78,1.396,18.0,-1.13,,,6.11,8238823.0,,,97.9,0.48872180451127817,0.9429824561403509,0.775062656641604,0.7161654135338346,0.8959899749373433,0.9298245614035088,0.7894736842105263,0.7915,0.8171,0.7577
WBI,WaterBridge Infrastructure LLC,Energy,Oil & Gas Equipment & Services,413.12,46.02,-36.37,128.0,-26.35,15.479999999999999,14.18,-7.02,20.03,0.17,-16.35,1.44,1050000.0,3.68,30.86,Aug 05/a,36.5,3810000000.0,HIGH,-2.65,-3.05,5.83,2.64,0.0815,False,-3.36,False,-6.01,3.347,2.722,-1.7333,-16.35,1.91,9.0,-4.19,31.0,-5.68,30.86,20894356.0,,,18.3,0.8007518796992481,0.6284461152882206,0.9085213032581454,0.9285714285714286,0.981203007518797,0.487468671679198,0.7042606516290727,0.7892,0.8486,0.7995
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,12.93,9.66,19.33,1.9799999999999998,0.34,-3.7699999999999996,11.12,9.63,-39.35,0.71,-55.47,1.33,2660000.0,4.29,9.11,Aug 05/a,18.67,2040000000.0,HIGH,-7.42,-0.33,4.54,-2.13,0.1291,False,-2.73,False,-0.93,3.164,3.513,-1.9912,-11.98,1.806,31.0,-1.62,31.0,-1.62,9.11,23280558.0,,,104.9,0.7155388471177945,0.7694235588972431,0.7117794486215538,0.8947368421052632,0.9479949874686717,0.6942355889724311,0.4949874686716792,0.789,0.6959,0.8131
