composite,horizon,dates,ic,ic_t,ic_mag,ic_mag_t,q5q1_med,q5q1_mean,top15_mean_vs_mean,top15_mean_pos,top15_med_vs_med,top15_med_pos,ic_median_falling,ic_median_rising
composite,10,20,0.07173151426581684,2.146355688964207,0.0642605529762047,2.109331444062266,0.02469295715572473,-0.003934122669922479,0.005028402850242386,0.6,0.008778119331461037,0.75,0.10789814702323801,0.00456491057346325
composite,20,18,0.0899464641922088,2.2215147036414025,0.07315861678580873,1.7906117160455237,0.04087569175601417,-0.010560595773730853,0.0038358396278483967,0.5555555555555556,0.018645768673542437,0.5555555555555556,0.1327687400094639,0.02265431647937934
rule5,10,20,0.10503919752308306,2.821111698393754,0.0849251209269242,2.4427728356339236,0.03346334174226854,0.0025336258706322593,0.002662223546140373,0.5,0.009105174141344837,0.7,0.1689936847266218,0.009107466717774999
rule5,20,18,0.12622777658258705,3.1846685648624447,0.09569181818025568,2.3394911799240843,0.06312433323563366,0.007385230809021449,0.011157452780013706,0.6666666666666666,0.011173126547446665,0.6666666666666666,0.16814428482544966,0.04239476009686186
rule5_mom20,10,20,0.09927482014147304,2.6958454536271157,0.08269750998788691,2.458605689777294,0.03420612415762825,0.0015428722296417414,0.0034467028477655425,0.65,0.011954825383330217,0.75,0.15953067500618198,0.008891037844409585
rule5_mom20,20,18,0.11978318369635625,3.0762314060706846,0.09291055586432477,2.391030644762113,0.05941299430750305,0.008474761586920124,0.008625518451093522,0.6666666666666666,0.021000441351461896,0.7222222222222222,0.1626930181798908,0.03396351472928721
rule5_dedup,10,20,0.09636152011566891,3.1530236644099947,0.08279302806832274,2.879870209565759,0.03314563705242714,0.0029725068094631044,0.00803616829879152,0.6,0.009367401019513066,0.75,0.13661673165019653,0.021601841551546215
rule5_dedup,20,18,0.11710685699313116,3.4924430934161914,0.09328186002886796,2.724226971975342,0.061399165886073796,0.007315009837253391,0.019351411464677174,0.6666666666666666,0.01979457190285353,0.7222222222222222,0.15281394570614168,0.04569267956711002
