,low_vol,near_high,squeeze,vol_5_50,vol_ratio,vs_sma50,mom20,composite
low_vol,1.0,0.5716978530805031,0.7979870251129758,0.08639361702721927,0.2710529991106124,0.1915814807590118,0.14184616205297712,0.5646687231901609
near_high,0.5716978530805031,1.0,0.5167274504684507,0.1875515471674206,0.20278795405611927,0.7530293149114318,0.5626057559093786,0.6647048941546216
squeeze,0.7979870251129758,0.5167274504684507,1.0,0.03164025399528904,0.22950537578038713,0.19110067754446158,0.16287844418080238,0.6366040150033105
vol_5_50,0.08639361702721927,0.1875515471674206,0.03164025399528904,1.0,0.49133373901781613,0.04544177686231891,0.036921185603948505,0.2551176914627057
vol_ratio,0.2710529991106124,0.20278795405611927,0.22950537578038713,0.49133373901781613,1.0,0.04602934180535595,0.027578961629778593,0.583620403479147
vs_sma50,0.1915814807590118,0.7530293149114318,0.19110067754446158,0.04544177686231891,0.04602934180535595,1.0,0.7698378436479393,0.5654422566323577
mom20,0.14184616205297712,0.5626057559093786,0.16287844418080238,0.036921185603948505,0.027578961629778593,0.7698378436479393,1.0,0.6719790091729263
composite,0.5646687231901609,0.6647048941546216,0.6366040150033105,0.2551176914627057,0.583620403479147,0.5654422566323577,0.6719790091729263,1.0
