date,horizon,median,mean
2026-04-17,5,-0.017559328964963594,-0.010125350755224754
2026-04-17,10,-0.008253975520058243,0.004413278857536828
2026-04-17,20,-0.05971655151360089,-0.024521422816212994
2026-04-24,5,0.009160296340817276,0.01303122904867993
2026-04-24,10,0.009512476237520051,0.020872944247514194
2026-04-24,20,-0.022222130127649398,0.005112700415413772
2026-05-01,5,0.0018723476753021995,0.009067434835708385
2026-05-01,10,-0.04657089657066488,-0.03198753382295658
2026-05-01,20,0.0,0.07018786606182152
2026-05-08,5,-0.057209147118932435,-0.042812919966456475
2026-05-08,10,-0.03705253525581492,-0.016656852915255118
2026-05-08,20,-0.06928565863032782,-0.03995440836335356
2026-05-15,5,0.015452470547938413,0.030215907122442206
2026-05-15,10,0.0420289793978017,0.07621425634212836
2026-05-15,20,0.008042891967528831,0.057272866221441704
2026-05-22,5,0.029080966475397374,0.049189566103899254
2026-05-22,10,-0.03182552168334124,0.017954937187371522
2026-05-22,20,-0.012880271020398404,0.040120366245845945
2026-05-29,5,-0.05844913554640874,-0.060921406727761244
2026-05-29,10,-0.03171658591214038,0.0029252725221487865
2026-05-29,20,-0.011846914910932593,0.03399579865333661
2026-06-05,5,0.022036350369014635,0.02430160371583056
2026-06-05,10,0.009498714719415546,0.026559499029635388
2026-06-05,20,0.04055402666653318,0.05599487411659815
2026-06-12,5,-0.007268367594281289,0.0037543055020023944
2026-06-12,10,0.02325720150922783,0.036200440428490105
2026-06-12,20,0.0025811626942751076,0.01002091004753056
2026-06-18,5,0.008703208268087015,0.005505684148521211
2026-06-18,10,0.02383539084929409,0.027978683897061676
2026-06-18,20,-0.02234634788015244,-0.024910563848762154
2026-06-26,5,0.014788526220611109,0.019676429075540472
2026-06-26,10,-0.010812915216404095,-0.01507352187843871
2026-06-26,20,-0.0398180185425101,-0.053314448625057416
2026-07-02,5,-0.018181801292662225,-0.014693036855951674
2026-07-02,10,-0.03607174791074974,-0.05112411140135738
2026-07-02,20,-0.07068035375070264,-0.0741976761869836
2026-07-10,5,-0.024880405131808336,-0.03398641207314345
2026-07-10,10,-0.058441504154985724,-0.06601074811171331
2026-07-10,20,-0.0020747362086480647,0.0022466927176235728
2026-07-17,5,-0.0306045726962072,-0.037305666436087716
2026-07-17,10,-0.026396369412123588,-0.033675493998062085
2026-07-17,20,0.03572158433483119,0.04272599306187549
2026-07-24,5,0.002933530802473383,-0.0004156447202589348
2026-07-24,10,0.07015308418754485,0.07645533470273606
2026-07-24,20,0.07082153031904248,0.08167295963531794
2026-07-31,5,0.06623930644236564,0.08073940740551787
2026-07-31,10,0.07225984982981437,0.08556325826490559
2026-07-31,20,0.05087320215737501,0.06959856345134854
2026-08-07,5,0.0,0.0007793972076000017
2026-08-07,10,-0.000668879743963624,0.0007673959538490631
2026-08-07,20,-0.016301765757146813,-0.0010172037094267686
2026-08-14,5,-0.007847940268235765,-0.005580646086918976
2026-08-14,10,-0.021530979238188697,-0.015687230400289312
2026-08-14,20,-0.05765532596570522,-0.053458953899254945
2026-08-21,5,-0.011831349962260207,-0.011389104028513109
2026-08-21,10,-0.011516303712136078,-0.013157291555303733
2026-08-28,5,-0.0006332864676651395,-0.00029728212683381564
2026-08-28,10,-0.03726856132738937,-0.03819360035677317
2026-09-04,5,-0.03894401633279465,-0.03676154702336738
