date,regime,horizon,signal,ic,ic_eligible,names,q5_q1
2026-04-17,RISK-ON,5,mom20,-0.07482402854248184,-0.09022003108723216,753,-0.005789759528381293
2026-04-17,RISK-ON,5,vol_ratio,0.08092196229138218,0.03219552169532226,753,0.006265580220325237
2026-04-17,RISK-ON,5,squeeze,0.1474574934728019,0.12887416052280148,753,0.011292974761423238
2026-04-17,RISK-ON,5,composite,0.054833902096998,,753,0.0003414380491578665
2026-04-17,RISK-ON,5,mom5,-0.09187241303288263,-0.09158307236623361,753,-0.029202137861260434
2026-04-17,RISK-ON,5,mom60_skip5,0.10764925638695076,0.06618202046445584,744,0.03275513006884176
2026-04-17,RISK-ON,5,mom60_riskadj,0.07253553222945643,0.04303243364450218,744,0.028381417809917847
2026-04-17,RISK-ON,5,vol_5_50,0.048488746372271324,-0.018958828031931902,747,0.0010338628292517536
2026-04-17,RISK-ON,5,squeeze_own,-0.008238080479228884,0.01143605441549452,744,0.003720873264675118
2026-04-17,RISK-ON,5,low_vol,0.15497382126849463,0.14807905981404212,753,0.010702417188776769
2026-04-17,RISK-ON,5,near_high,0.09664301435356794,0.0661295520311887,744,0.02538398374744994
2026-04-17,RISK-ON,5,vs_sma50,0.0345363721519637,-0.008178782770352076,747,0.03234236689208587
2026-04-17,RISK-ON,5,vs_sma20,-0.11962071169067336,-0.11016758527687724,753,-0.01870431335744959
2026-04-17,RISK-ON,10,mom20,-0.10549662529549299,-0.10084010590262468,753,-0.028394282369357066
2026-04-17,RISK-ON,10,vol_ratio,0.09739607191125113,0.07838937730977587,753,0.005576658125530053
2026-04-17,RISK-ON,10,squeeze,0.13926032524234633,0.12817115126922077,753,0.01787536260344647
2026-04-17,RISK-ON,10,composite,0.027246464302366463,,753,-0.010405540852372008
2026-04-17,RISK-ON,10,mom5,-0.03772968908405595,-0.03601393530010116,753,-0.013613048131849104
2026-04-17,RISK-ON,10,mom60_skip5,0.05238991290981049,0.03062345634236991,744,0.05291513833159298
2026-04-17,RISK-ON,10,mom60_riskadj,0.002631532652074055,-0.007789429616271998,744,0.027426161702954338
2026-04-17,RISK-ON,10,vol_5_50,0.07033551827165427,0.029079874915101868,747,-0.006452007268319817
2026-04-17,RISK-ON,10,squeeze_own,-0.023276149733717645,-0.009367465819763297,744,0.0005254822666559075
2026-04-17,RISK-ON,10,low_vol,0.15687980178385982,0.1512478259286154,753,0.018169757741694912
2026-04-17,RISK-ON,10,near_high,0.09248229491374522,0.08197286034766597,744,0.033497482044805287
2026-04-17,RISK-ON,10,vs_sma50,0.059633765461485334,0.029721666894789823,747,0.04478999572475276
2026-04-17,RISK-ON,10,vs_sma20,-0.10613552440762378,-0.09432171512684927,753,-0.037717691931733945
2026-04-17,RISK-ON,20,mom20,-0.046344465276284524,-0.04348455387087213,753,-0.029177165120804816
2026-04-17,RISK-ON,20,vol_ratio,0.12534071520988563,0.10828614624895123,753,0.045670640292750996
2026-04-17,RISK-ON,20,squeeze,0.08474771106819001,0.07255792842444339,753,-0.020266482249000732
2026-04-17,RISK-ON,20,composite,0.04207385853319145,,753,-0.017441788467474205
