date,horizon,signal,q,median,mean
2026-04-17,5,mom20,1,0.0,-9.291287732881904e-05
2026-04-17,5,mom20,2,-0.013273523917714136,-0.01295371832810682
2026-04-17,5,mom20,3,-0.01565981533723171,-0.016646614513189682
2026-04-17,5,mom20,4,-0.019941835710972855,-0.015102528001584646
2026-04-17,5,mom20,5,-0.027308197215134555,-0.005882672405710112
2026-04-17,5,vol_ratio,1,-0.0361445437046628,-0.021900551346081834
2026-04-17,5,vol_ratio,2,-0.012679258974516772,-0.0070617314689224355
2026-04-17,5,vol_ratio,3,-0.017064846860731953,-0.007465315381545734
2026-04-17,5,vol_ratio,4,-0.012420902519872046,0.0015333141167675538
2026-04-17,5,vol_ratio,5,-0.01927916932331175,-0.015634971125756597
2026-04-17,5,squeeze,1,-0.03902435393506387,-0.014082112593038853
2026-04-17,5,squeeze,2,-0.03932333434173113,-0.01665280922438771
2026-04-17,5,squeeze,3,-0.004464281437804529,-0.005585485637089182
2026-04-17,5,squeeze,4,-0.016604758196343772,-0.011570003931351956
2026-04-17,5,squeeze,5,-0.006392666305344519,-0.002789137831615615
2026-04-17,5,composite,1,-0.027610308883335488,-0.008770353913470417
2026-04-17,5,composite,2,-0.03142411770191278,-0.015576059533309603
2026-04-17,5,composite,3,-0.009623086045664864,0.0009438021597756786
2026-04-17,5,composite,4,-0.020507031406638343,-0.018889363855791333
2026-04-17,5,composite,5,-0.01565981533723171,-0.00842891586431255
2026-04-17,5,mom5,1,0.0029239737544373146,0.009481295995140512
2026-04-17,5,mom5,2,-0.01264304370894448,-0.011766070454156067
2026-04-17,5,mom5,3,-0.013761433374297583,-0.008772237531800052
2026-04-17,5,mom5,4,-0.02541502296724102,-0.019924661711607543
2026-04-17,5,mom5,5,-0.03401705330060967,-0.01972084186611992
2026-04-17,5,mom60_skip5,1,-0.03816790419867877,-0.025313399943197274
2026-04-17,5,mom60_skip5,2,-0.019925261859617516,-0.010751143094365255
2026-04-17,5,mom60_skip5,3,-0.014160975010296506,-0.00796181360884991
2026-04-17,5,mom60_skip5,4,-0.011111191821305932,-0.012305426771852356
2026-04-17,5,mom60_skip5,5,-0.0067853995928074395,0.007441730125644488
2026-04-17,5,mom60_riskadj,1,-0.0195707440905869,-0.018704912140735712
2026-04-17,5,mom60_riskadj,2,-0.02148437649830115,-0.02735966124621146
2026-04-17,5,mom60_riskadj,3,-0.020204021757789903,-0.011897410312222599
2026-04-17,5,mom60_riskadj,4,-0.013157882353605488,-0.000630988663326446
2026-04-17,5,mom60_riskadj,5,-0.0035841989620414294,0.009676505669182133
2026-04-17,5,vol_5_50,1,-0.020167921000702138,-0.0035765840856121734
2026-04-17,5,vol_5_50,2,-0.022226059661494157,-0.020023152313823168
2026-04-17,5,vol_5_50,3,-0.013738900433121648,-0.005652208868369604
2026-04-17,5,vol_5_50,4,-0.014804799356481602,-0.020285806343910206
2026-04-17,5,vol_5_50,5,-0.017003373093576524,-0.00254272125636042
2026-04-17,5,squeeze_own,1,-0.014833186277611765,-0.011554829848799282
2026-04-17,5,squeeze_own,2,-0.017174511819290972,-0.012689493772628338
2026-04-17,5,squeeze_own,3,-0.019421848819218046,-0.008869396901031569
2026-04-17,5,squeeze_own,4,-0.013738900433121648,-0.00794846734907173
2026-04-17,5,squeeze_own,5,-0.022226059661494157,-0.007833956584124164
2026-04-17,5,low_vol,1,-0.041388511649214865,-0.01222863624845802
2026-04-17,5,low_vol,2,-0.03614765695908018,-0.015626133478583343
