date,horizon,signal,ic
2026-04-17,5,mom20,-0.07482402854248184
2026-04-17,5,vol_ratio,0.08092196229138218
2026-04-17,5,squeeze,0.1474574934728019
2026-04-17,5,composite,0.054833902096998
2026-04-17,5,mom5,-0.09187241303288263
2026-04-17,5,mom60_skip5,0.10764925638695076
2026-04-17,5,mom60_riskadj,0.07253553222945643
2026-04-17,5,vol_5_50,0.048488746372271324
2026-04-17,5,squeeze_own,-0.008238080479228884
2026-04-17,5,low_vol,0.15497382126849463
2026-04-17,5,near_high,0.09664301435356794
2026-04-17,5,vs_sma50,0.0345363721519637
2026-04-17,5,vs_sma20,-0.11962071169067336
2026-04-17,5,rule5,0.1512676457645567
2026-04-17,5,rule5_mom20,0.1096138287593177
2026-04-17,10,mom20,-0.10549662529549299
2026-04-17,10,vol_ratio,0.09739607191125113
2026-04-17,10,squeeze,0.13926032524234633
2026-04-17,10,composite,0.027246464302366463
2026-04-17,10,mom5,-0.03772968908405595
2026-04-17,10,mom60_skip5,0.05238991290981049
2026-04-17,10,mom60_riskadj,0.002631532652074055
2026-04-17,10,vol_5_50,0.07033551827165427
2026-04-17,10,squeeze_own,-0.023276149733717645
2026-04-17,10,low_vol,0.15687980178385982
2026-04-17,10,near_high,0.09248229491374522
2026-04-17,10,vs_sma50,0.059633765461485334
2026-04-17,10,vs_sma20,-0.10613552440762378
2026-04-17,10,rule5,0.1390950403104246
2026-04-17,10,rule5_mom20,0.09494596080487422
2026-04-17,20,mom20,-0.046344465276284524
2026-04-17,20,vol_ratio,0.12534071520988563
2026-04-17,20,squeeze,0.08474771106819001
2026-04-17,20,composite,0.04207385853319145
2026-04-17,20,mom5,0.016119735314673818
2026-04-17,20,mom60_skip5,0.09286132414175496
2026-04-17,20,mom60_riskadj,0.08164668787837863
2026-04-17,20,vol_5_50,0.1223584841632949
2026-04-17,20,squeeze_own,-0.020997667207535427
2026-04-17,20,low_vol,0.0745305092982451
2026-04-17,20,near_high,0.12414129258199695
2026-04-17,20,vs_sma50,0.0810501123510272
2026-04-17,20,vs_sma20,-0.03309685847581033
2026-04-17,20,rule5,0.14023639179263941
2026-04-17,20,rule5_mom20,0.10661336079242828
2026-04-24,5,mom20,-0.02529939271573359
2026-04-24,5,vol_ratio,-0.03167813313863568
2026-04-24,5,squeeze,0.05330569271149088
2026-04-24,5,composite,-0.033273959614536025
2026-04-24,5,mom5,0.08361683684057514
2026-04-24,5,mom60_skip5,0.00030323370262980604
2026-04-24,5,mom60_riskadj,-0.026544916952891323
2026-04-24,5,vol_5_50,0.002706862880701084
2026-04-24,5,squeeze_own,-0.04157057368043293
2026-04-24,5,low_vol,0.08082125367929592
