committed,formation,listed,found5,excess5,mm5,dd5,found10,excess10,mm10,dd10,found20,excess20,mm20,dd20,found40,excess40,mm40,dd40,found60,excess60,mm60,dd60
2026-04-17 09:02,2026-04-16,15,13.0,0.005541980690825881,-0.0017348874864201048,0.006840023835946729,13.0,0.03265096274954254,0.02298039231694203,0.014440379988824192,13.0,0.18405544621416095,0.13580160181641412,0.033123261721975106,13.0,0.1362876413359519,0.0789834127001017,0.017320851500936207,13.0,0.08807264446173635,0.022530322004802275,0.05273561209321853
2026-05-06 18:22,2026-05-06,15,14.0,0.0023055315258391565,-0.030949204255503023,0.007096788536254173,14.0,0.08203713340840924,0.06647181158298582,0.06319894013289779,14.0,0.11203221420573606,0.06817719828315323,0.06386776515425419,14.0,0.15718174228012521,0.11458968966030061,0.1775964605803339,14.0,0.1574356224781298,0.12030116685016529,0.1681180167314979
2026-05-16 16:38,2026-05-15,15,14.0,0.06167527881739969,0.04748573129403716,0.05483283053173138,14.0,0.13544971696931768,0.10132860511647608,0.07420017413313196,14.0,0.10984250158997715,0.0652838415994089,0.09060400765427568,14.0,0.176549884929838,0.13061551248566972,0.15656444295188854,14.0,0.2806314078690363,0.2348128215294884,0.2292869817038924
2026-05-22 07:45,2026-05-21,15,12.0,-0.033231057488227154,-0.04814731723566696,-0.02403238387287643,12.0,-0.019538087958362947,-0.025895303346788245,-0.008854550724188115,12.0,-0.019762998134988174,-0.06930924297677069,-0.0010935850713092998,12.0,0.014384113593482545,-0.032927305861950446,0.0055152935528984814,12.0,0.015357338445047174,-0.02138306313819934,0.025356186937887493
2026-05-31 16:37,2026-05-29,15,14.0,-0.01741230046475642,-0.012757030686046764,-0.01088604676159699,14.0,-0.02750997303661444,-0.05577557004175381,-0.027111898769372256,14.0,0.013123840110284628,-0.030123472700432072,0.016853335299941985,14.0,-0.023066764845462134,-0.053218168572383574,0.03504137580610145,14.0,-0.028409636860688727,-0.036891342640412834,-0.0903110612426215
2026-06-08 20:10,2026-06-08,15,13.0,-0.0006944885001997324,-0.0017877117142589827,-0.020073016994806903,13.0,0.029026804610345236,0.018075546863888205,-0.017758147355742437,13.0,0.0506028997681138,0.03452113060541761,-0.010821387112065928,13.0,0.09371720556181208,0.08339997357111148,0.07535322247514697,13.0,0.06725616161547736,0.04862779878612467,-0.009130086801668824
2026-06-15 20:30,2026-06-15,15,15.0,-0.002542362288082963,-0.006274590039516496,0.008462165075752814,15.0,0.06770646762269793,0.06188101413583986,0.045245431395038005,15.0,0.07746887814311573,0.08144451042067279,0.07638115746966079,15.0,0.1594597951446366,0.14607485915886423,0.11414191623782644,15.0,0.15046210273168872,0.14458775026685758,0.10466421988492797
2026-06-22 17:49,2026-06-22,15,15.0,0.06395809243838006,0.06334935887845605,0.07876037157803961,15.0,0.08390214360826877,0.08379300730586992,0.07759582481864657,15.0,0.13324234820971273,0.14584387709566576,0.10805450001303896,15.0,0.16359959180972572,0.16206396903797635,0.10062138466528847,15.0,0.1789892642300539,0.16804312871723415,0.10905090852295407
2026-06-28 20:30,2026-06-26,15,14.0,0.006673208605335816,0.0044889676073313605,0.006315291120234656,14.0,0.039514072099909314,0.04526515443077252,0.021042227615329034,14.0,0.09263814962372512,0.10866347667851219,0.06982110796809815,14.0,0.12243034558328898,0.11662415464608272,0.10051751056563762,,,,
2026-07-06 20:20,2026-07-06,15,12.0,0.019326766530155352,0.024262094285796773,0.022096995561991795,12.0,0.036038958597245326,0.04880926898227316,0.04358735739789166,12.0,6.648244981805745e-05,0.004271687442555551,0.021490406405615614,12.0,0.10872870751916355,0.10001524453703876,0.09814620854222156,,,,
2026-07-16 18:20,2026-07-16,15,13.0,-0.02193976260197307,-0.02641897483508756,-0.014175794929027097,13.0,-0.039071827717931495,-0.03356707849180273,-0.02346545200190142,13.0,-0.020593696581626325,-0.021405787323690167,-0.035822904576185643,13.0,-0.054210896281156856,-0.07259522867118867,-0.027076308701534546,,,,
2026-07-21 18:11,2026-07-21,15,14.0,0.01518704802362673,0.0215675203501715,0.022369206034251965,14.0,-0.0013710171275841555,-0.0029075677962277433,0.012043913488717695,14.0,0.044566507157201986,0.044337825613830616,0.059359149185267523,14.0,0.04809173738647611,0.03439756682374068,0.059027807114453046,,,,
2026-07-27 22:50,2026-07-27,15,14.0,-0.012916379795834543,-0.01063917153352423,-0.015551781745286042,14.0,0.046484454428904684,0.04114873793584809,-0.00040150380590742163,14.0,0.04883893998759069,0.039504416590169296,-0.016257386138823215,,,,,,,,
2026-08-02 20:16,2026-07-31,15,15.0,-0.006926978669381655,-0.01955460753659321,-0.050821790143651624,15.0,-0.01292288252486247,-0.025038995840361164,-0.07295758344762815,14.0,0.03905244549129325,0.022077782544878383,-0.034009211219974966,,,,,,,,
2026-08-09 18:16,2026-08-07,15,15.0,-0.005846347856148245,-0.009812800882963314,0.0015432083609301372,15.0,0.016677134759143,0.01154350217875224,0.021542319265894894,15.0,0.03876553223415479,0.022305355704406584,0.03483488851062677,,,,,,,,
2026-08-16 20:32,2026-08-14,15,15.0,0.02722958518303729,0.026031926049719753,0.025141274512487433,15.0,0.02142033801790341,0.017629109589248234,0.026655013969574592,15.0,0.0026339859210608094,0.0010801308714218638,0.007310609347262409,,,,,,,,
2026-08-24 07:36,2026-08-21,15,15.0,-0.005479394537637461,-0.005477997372598882,-0.003035578808893602,15.0,0.03219456554119432,0.033239166064923824,0.02633903622260869,,,,,,,,,,,,
2026-08-31 10:06,2026-08-28,15,15.0,-0.014095382165267172,-0.014702952391323605,-0.0071789538256311625,15.0,-0.006804627406959966,-0.005769818870450083,-0.015296853290918566,,,,,,,,,,,,
2026-09-07 21:36,2026-09-04,15,14.0,0.011031059810006905,0.010357196866934981,0.026308194573099075,,,,,,,,,,,,,,,,
2026-09-14 07:20,2026-09-11,15,,,,,,,,,,,,,,,,,,,,
2026-09-14 22:29,2026-09-14,50,,,,,,,,,,,,,,,,,,,,
2026-09-15 21:44,2026-09-15,50,,,,,,,,,,,,,,,,,,,,
