date,horizon,signal,partial_ic
2026-04-17,5,mom20,-0.1155960337710767
2026-04-17,5,vol_ratio,0.059972821893607434
2026-04-17,5,squeeze,0.05099615465165983
2026-04-17,5,composite,-0.041083659924849754
2026-04-17,5,mom5,-0.10592266388445133
2026-04-17,5,mom60_skip5,0.07991595714985775
2026-04-17,5,mom60_riskadj,0.07545139563039902
2026-04-17,5,vol_5_50,0.04807470891626143
2026-04-17,5,squeeze_own,-0.016196696074414377
2026-04-17,5,near_high,0.018006778269098724
2026-04-17,5,vs_sma50,-0.005097494312652955
2026-04-17,5,vs_sma20,-0.14780825487448326
2026-04-17,5,rule5,0.050823199422884414
2026-04-17,5,rule5_mom20,-0.003614234757015156
2026-04-17,10,mom20,-0.14260852227556858
2026-04-17,10,vol_ratio,0.07909023577627677
2026-04-17,10,squeeze,0.03949977608047062
2026-04-17,10,composite,-0.07228453795032816
2026-04-17,10,mom5,-0.052923860108501815
2026-04-17,10,mom60_skip5,0.02485420390776457
2026-04-17,10,mom60_riskadj,0.0052536244764004964
2026-04-17,10,vol_5_50,0.06997145784695126
2026-04-17,10,squeeze_own,-0.03063514309381243
2026-04-17,10,near_high,0.02365347535854931
2026-04-17,10,vs_sma50,0.025739138240244104
2026-04-17,10,vs_sma20,-0.13294931897490406
2026-04-17,10,rule5,0.04855304750430475
2026-04-17,10,rule5_mom20,-0.0077325601521063885
2026-04-17,20,mom20,-0.06163523935798148
2026-04-17,20,vol_ratio,0.12044832578440018
2026-04-17,20,squeeze,0.05589190244906574
2026-04-17,20,composite,0.002707115590731431
2026-04-17,20,mom5,0.008204512052311553
2026-04-17,20,mom60_skip5,0.08337843082129363
2026-04-17,20,mom60_riskadj,0.08327475698384836
2026-04-17,20,vol_5_50,0.12217701535705146
2026-04-17,20,squeeze_own,-0.024233555535194407
2026-04-17,20,near_high,0.11171271204566885
2026-04-17,20,vs_sma50,0.06757111264762154
2026-04-17,20,vs_sma20,-0.047611869914268516
