,mean,count
regime,RISK-ON,RISK-ON
signal,,
composite,0.13083647850584224,14
low_vol,0.1822433436115887,14
mom20,0.06777702174521809,14
mom5,0.060925385278668955,14
mom60_riskadj,-0.026690537317702247,14
mom60_skip5,-0.02048062582653917,14
near_high,0.14443183954370112,14
squeeze,0.12997310548061314,14
squeeze_own,-0.039300077342110516,14
vol_5_50,0.09407370284451284,14
vol_ratio,0.10136130913860383,14
vs_sma20,0.10335038331035798,14
vs_sma50,0.05363414262132486,14
