gate,stock_dates,mean,median,share_positive
>20% above 20-day SMA,1069,0.0005399360842273328,-0.02325720150922783,0.4275023386342376
>40% above 50-day SMA,759,-0.03006783682618306,-0.03191450689589742,0.42292490118577075
deal-pinned (ATR<0.75%),50,0.01278157983582377,0.022835637365429595,0.8
fresh >10% breakout,728,0.004127714758579563,-0.021352763924474605,0.4368131868131868
