date,horizon,top50_minus_median,top50_mean_vs_mean,top50_median_vs_median,survivor_skew_gap
2026-04-17,5,0.008350458547894173,0.0009164815267312543,-0.005764853660334857,0.007433977021162918
2026-04-17,10,0.018173407872541826,0.005506153378790746,0.0007140649806889887,0.012667254493751078
2026-04-17,20,0.048406443482714556,0.013211315824535587,0.009729522042355776,0.03519512765817897
2026-04-17,40,0.07979647039072452,0.034692826249644974,0.0483744832321551,0.04510364414107955
2026-04-17,60,0.09127690556426929,0.045044140021016976,0.021206094120297725,0.0462327655432523
2026-04-24,5,0.012102211629279557,0.007793480633723218,0.0008915537550558961,0.004308730995556339
2026-04-24,10,0.013020887640107934,0.0015273917249515705,-0.002939753854722782,0.011493495915156363
2026-04-24,20,0.0308311111599352,0.002921905984362914,-0.022943223152892323,0.027909205175572285
2026-04-24,40,0.04808263556796285,-0.001485242277493087,0.026424434533172225,0.04956787784545594
2026-04-24,60,0.05212430668231161,-0.004567855852968765,0.038232917817673684,0.05669216253528037
2026-05-01,5,0.009139366256449283,0.0019442801312092445,0.00020007700688340346,0.007195086125240039
2026-05-01,10,0.033285772932550625,0.01870241124803209,0.0056061474126622435,0.014583361684518535
2026-05-01,20,0.07078081257259093,0.0005929470674865406,-0.002251574994137917,0.07018786550510439
2026-05-01,40,0.09740484051244522,0.03831526486269746,0.021732181168815035,0.05908957564974776
2026-05-01,60,0.12026077229490367,0.08369776064172776,0.08788188475810732,0.0365630116531759
2026-05-08,5,-0.01168100582307742,-0.02607723269204079,-0.004575176240010581,0.014396226868963372
2026-05-08,10,-0.005037874434438851,-0.02543355726210891,-0.01212934659184306,0.02039568282767006
2026-05-08,20,0.03568199780319013,0.006350747650375618,0.042296829356603505,0.029331250152814514
2026-05-08,40,0.09319923183289025,0.06938729924452114,0.10095975267967494,0.023811932588369118
2026-05-08,60,0.11386580291994433,0.0763611025441802,0.11203460336418364,0.03750470037576414
2026-05-15,5,0.009887786264520356,-0.0048756507221820525,-0.00319472898129336,0.014763436986702409
2026-05-15,10,-0.027680332185709075,-0.06186560943713744,-0.02058539792339409,0.034185277251428364
2026-05-15,20,-0.015796512315303567,-0.06502648656796217,-0.0019245503729655722,0.049229974252658605
2026-05-15,40,-0.01694170496688164,-0.06724427910469877,0.00997973536759511,0.05030257413781712
2026-05-15,60,0.002791655058546491,-0.049252925922375165,0.010588156641441748,0.052044580980921656
2026-05-22,5,0.023057924318176028,0.0029493247977947987,-0.003045310423642089,0.02010859952038123
2026-05-22,10,0.010998565575856725,-0.0387818927337896,0.01205880180870561,0.04978045830964632
2026-05-22,20,-0.00961067188542869,-0.06261130870297213,0.007381717228398366,0.05300063681754344
2026-05-22,40,-0.0001616813760169592,-0.0518816586913898,0.008588787743433912,0.05171997731537284
2026-05-22,60,0.0016116650715455004,-0.042183566013065846,0.024470339689651177,0.04379523108461135
2026-05-29,5,-0.006368237191893819,-0.004116403769976282,0.002874575852759298,-0.0022518334219175373
2026-05-29,10,-0.007598069829811906,-0.04246935081021154,0.004960395274385909,0.034871280980399634
2026-05-29,20,0.052339237594497295,0.006099666937813372,0.07486007619439661,0.04623957065668392
2026-05-29,40,0.06825911593474743,0.02205551704448275,0.09792552292684398,0.04620359889026468
2026-05-29,60,0.07094934104482292,0.05099397394806699,0.08308343184174272,0.01995536709675593
2026-06-05,5,0.00404661262349482,0.0016933331013626353,0.00860184527360297,0.0023532795221321845
2026-06-05,10,0.007563460810041965,-0.009719495294002577,0.0018639720053332809,0.017282956104044542
2026-06-05,20,0.03383305142134352,0.0176527689182064,0.010332183140072115,0.01618028250313712
2026-06-05,40,0.06768981243452464,0.040347243918350706,0.0398149201431125,0.027342568516173935
2026-06-05,60,0.046488198978236625,0.028777567081904473,0.01744396888201316,0.017710631896332152
2026-06-12,5,0.003632800758351322,-0.007841476140726783,-0.010436773316504389,0.011474276899078106
2026-06-12,10,0.05373675993409516,0.04018249202179641,0.0280521513836558,0.013554267912298745
2026-06-12,20,0.07174968706281495,0.06355154392193879,0.03448157795717344,0.00819814314087616
2026-06-12,40,0.12744136154653138,0.10405689413665704,0.062347112081816425,0.023384467409874335
2026-06-12,60,0.1301821555653758,0.11914496775757796,0.06474732447407511,0.011037187807797832
2026-06-18,5,0.03969375675205619,0.04289130118212309,0.03854889182527477,-0.003197544430066892
2026-06-18,10,0.04189951819980722,0.037756224988133205,0.02361634893933595,0.004143293211674018
2026-06-18,20,0.07432977176899766,0.07734199563021782,0.06784304945463843,-0.003012223861220159
2026-06-18,40,0.0733297177030619,0.0645998160276488,0.06794286560432267,0.008729901675413095
2026-06-18,60,0.0693064057832296,0.045659503109038775,0.020756404454245925,0.02364690267419082
2026-06-26,5,0.007075864738646992,0.002267239620845664,0.002286099308712486,0.004808625117801328
2026-06-26,10,0.028240816905968306,0.03254729284934501,0.02427504044875861,-0.004306475943376704
2026-06-26,20,0.04757727313365652,0.06125406332324397,0.05135902829057082,-0.013676790189587451
2026-06-26,40,0.06995859025636283,0.06019957478032266,0.03154316571161564,0.009759015476040184
2026-07-02,5,0.008624172276472013,0.005288488778216017,0.007642041260048749,0.0033356834982559962
2026-07-02,10,0.020878336241895612,0.03586882994875715,0.03531282853817208,-0.014990493706861535
2026-07-02,20,0.037078279189396664,0.04011516118615221,0.035555663400636206,-0.0030368819967555444
