ticker,entry,exit,cost,exit_px,shares,pnl,ret,kind,era,spy,iwm,vs_spy,vs_iwm,days,after20_vs_spy
ABAT,2025-09-22,2025-09-23,2.989999885559082,3.87,6.0,5.280000686645508,0.29431443081021125,discretionary,pre-pivot,-0.005443480659860334,-0.0022504842874166986,0.2997579114700716,0.29656491509762795,1,0.4648145072382235
IOBT,2025-09-19,2025-09-30,1.57,0.3751,28.0,-33.4572,-0.7610828025477707,discretionary,pre-pivot,0.0037365691773292298,-0.004197851555636012,-0.7648193717251,-0.7568849509921347,7,
ABAT,2025-09-22,2025-10-06,3.020000190734863,5.22,4.0,8.799999237060547,0.7284767120262354,discretionary,pre-pivot,0.0071530914405388835,0.009902206549324388,0.7213236205856965,0.718574505476911,10,-0.22828640236659503
ABAT,2025-09-22,2025-10-14,2.899999904632568,7.8,4.0,19.600000381469727,1.6896552608639706,discretionary,pre-pivot,-0.006913196383755538,0.014362305391008023,1.696568457247726,1.6752929554729625,16,-0.6730230834862378
ABAT,2025-09-22,2025-10-14,3.0,10.0,2.0,14.0,2.3333333333333335,discretionary,pre-pivot,-0.006913196383755538,0.014362305391008023,2.340246529717089,2.3189710279423252,16,-0.6730230834862378
ABAT,2025-09-22,2025-10-15,1.205000267028808,9.61,2.0,16.809999465942383,6.97510196715189,discretionary,pre-pivot,-0.00250432676130663,0.024305444744057603,6.977606293913197,6.950796522407832,17,-0.5413430174047855
SPRO,2025-09-22,2025-10-16,2.0033333333333334,2.52,33.0,17.049999999999997,0.2579034941763727,discretionary,pre-pivot,-0.009297621874876594,0.0027414887203951466,0.2672011160512493,0.25516200545597756,18,0.021041853040248748
BEEM,2025-10-08,2025-10-16,3.35,3.34,9.0,-0.0900000000000034,-0.0029850746268657025,discretionary,pre-pivot,-0.018525966305559693,-0.00672830153056736,0.015540891678693991,0.0037432269037016574,6,-0.44447130932431145
SPRO,2025-10-20,2025-10-23,2.22,2.24,31.0,0.6200000000000045,0.009009009009008917,discretionary,pre-pivot,0.0006852194236914855,-0.007011560363332836,0.008323789585317432,0.016020569372341753,3,0.055898951769552174
TKNO,2025-10-20,2025-10-27,5.23,5.75,9.0,4.679999999999993,0.0994263862332696,discretionary,pre-pivot,0.020765751086324613,0.008623439736046956,0.07866063514694499,0.09080294649722265,5,-0.1263647980553072
MAMA,2025-10-20,2025-10-27,10.7,10.91,2.0,0.4200000000000017,0.01962616822429908,discretionary,pre-pivot,0.020765751086324613,0.008623439736046956,-0.0011395828620255344,0.011002728488252123,5,-0.01780040492390067
MAMA,2025-10-20,2025-10-28,10.7,10.98,4.0,1.1200000000000043,0.026168224299065512,discretionary,pre-pivot,0.023476760713400102,0.003223820857847004,0.00269146358566541,0.02294440344121851,6,0.024757041679033143
CURI,2025-10-28,2025-10-31,4.550000000000001,4.45,19.0,-1.9000000000000057,-0.021978021978022122,discretionary,pre-pivot,-0.007277328954035656,-0.010965689585328398,-0.014700693023986466,-0.011012332392693724,3,0.05561992964400997
APYX,2025-10-27,2025-11-06,3.21,3.18,30.0,-0.8999999999999915,-0.009345794392523255,discretionary,pre-pivot,-0.021788053128338536,-0.03975225566419327,0.012442258735815281,0.030406461271670016,8,0.15317487824104825
TNXP,2025-11-03,2025-11-07,18.7,17.0,4.0,-6.799999999999997,-0.09090909090909083,discretionary,pre-pivot,-0.01810227436979872,-0.01560460643550754,-0.07280681653929211,-0.07530448447358329,4,0.151131713417203
CAPR,2025-11-07,2025-11-10,6.28,6.1,5.0,-0.9000000000000021,-0.02866242038216571,discretionary,pre-pivot,0.015604317681877422,0.010016142370823822,-0.04426673806404313,-0.03867856275298953,1,3.922112326142991
CAPR,2025-11-07,2025-11-17,6.28,5.9,2.0,-0.7599999999999998,-0.060509554140127375,discretionary,pre-pivot,-0.007898978984236193,-0.03662933159943571,-0.05261057515589118,-0.023880222540691665,6,3.5531053113696336
OKYO,2025-11-10,2025-11-19,2.557,2.1,20.0,-9.14,-0.17872506843957758,stop,pre-pivot,-0.027603252931091005,-0.04343736654712105,-0.15112181550848658,-0.13528770189245654,7,-0.09514385422695848
PEPG,2025-11-10,2025-11-24,4.5,5.65,10.0,11.5,0.25555555555555554,discretionary,pre-pivot,-0.018651680958098438,-0.016924185784661705,0.274207236513654,0.27247974134021724,10,-0.10951602423719065
CAPR,2025-11-07,2025-11-24,6.28,4.9,3.0,-4.14,-0.21974522292993626,stop,pre-pivot,-0.003338410031192063,-0.0070775584681672665,-0.2164068128987442,-0.212667664461769,11,5.196652523456857
