date,names,pinned_mean,pinned_median,survivor_mean,survivor_median
2026-04-24,1,0.0,0.0,0.020872944247514194,0.009512476237520051
2026-05-01,1,-0.004166662527455345,-0.004166662527455345,-0.03198753382295658,-0.04657089657066488
2026-05-08,1,0.0041840962444885665,0.0041840962444885665,-0.016656852915255118,-0.03705253525581492
2026-05-15,1,0.008368192488977133,0.008368192488977133,0.07621425634212836,0.0420289793978017
2026-05-22,1,0.0,0.0,0.017954937187371522,-0.03182552168334124
2026-05-29,1,0.0,0.0,0.0029252725221487865,-0.03171658591214038
2026-06-05,1,0.004166662527455456,0.004166662527455456,0.026559499029635388,0.009498714719415546
2026-06-12,2,-0.004599921089023851,-0.004599921089023851,0.036200440428490105,0.02325720150922783
2026-06-18,1,0.0,0.0,0.027978683897061676,0.02383539084929409
2026-06-26,1,-0.008230444599618192,-0.008230444599618192,-0.01507352187843871,-0.010812915216404095
2026-07-24,2,0.004150596954479835,0.004150596954479835,0.07645533470273606,0.07015308418754485
2026-07-31,2,-0.015332951888217872,-0.015332951888217872,0.08556325826490559,0.07225984982981437
2026-08-07,1,0.004725335042173429,0.004725335042173429,0.0007673959538490631,-0.000668879743963624
2026-08-14,9,0.0014323587792139936,0.002114112474493446,-0.015687230400289312,-0.021530979238188697
2026-08-21,11,0.004211006459364755,0.003476008548104259,-0.013157291555303733,-0.011516303712136078
2026-08-28,14,0.0012667535649273603,0.001112992787365763,-0.03819360035677317,-0.03726856132738937
