date,horizon,signal,ic_magnitude
2026-04-17,5,mom20,-0.0523698740180236
2026-04-17,5,vol_ratio,0.06453517050279331
2026-04-17,5,squeeze,0.07011499062523154
2026-04-17,5,composite,0.021039622099548863
2026-04-17,5,mom5,-0.07609208841009245
2026-04-17,5,mom60_skip5,0.1277532056433809
2026-04-17,5,mom60_riskadj,0.11156244640579699
2026-04-17,5,vol_5_50,0.04071622719890754
2026-04-17,5,squeeze_own,-0.005595016973606372
2026-04-17,5,low_vol,0.06861398178560922
2026-04-17,5,near_high,0.08120270429580825
2026-04-17,5,vs_sma50,0.07298274068773998
2026-04-17,5,vs_sma20,-0.09176944046855758
2026-04-17,5,rule5,0.10531656873784093
2026-04-17,5,rule5_mom20,0.07313198806741833
2026-04-17,10,mom20,-0.07211057075676677
2026-04-17,10,vol_ratio,0.08711689866393041
2026-04-17,10,squeeze,0.08248914735398429
2026-04-17,10,composite,0.011011594755686496
2026-04-17,10,mom5,-0.027831100591672216
2026-04-17,10,mom60_skip5,0.09533321648498688
2026-04-17,10,mom60_riskadj,0.05783243220025188
2026-04-17,10,vol_5_50,0.051987882879016054
2026-04-17,10,squeeze_own,-0.0010886162990534805
2026-04-17,10,low_vol,0.08461292198980443
2026-04-17,10,near_high,0.07284294565574204
2026-04-17,10,vs_sma50,0.0857186716941597
2026-04-17,10,vs_sma20,-0.07960019995600595
2026-04-17,10,rule5,0.09363820905607685
2026-04-17,10,rule5_mom20,0.06004986887009767
2026-04-17,20,mom20,-0.01958233889853087
2026-04-17,20,vol_ratio,0.08441908589669066
2026-04-17,20,squeeze,-0.021185689521937227
2026-04-17,20,composite,-0.006382982794547361
2026-04-17,20,mom5,0.02733370737832152
2026-04-17,20,mom60_skip5,0.06097087393998424
2026-04-17,20,mom60_riskadj,0.07524190170321286
2026-04-17,20,vol_5_50,0.10402751811145856
2026-04-17,20,squeeze_own,-0.021180182968907602
2026-04-17,20,low_vol,-0.04066792153154445
2026-04-17,20,near_high,0.06344469220630289
2026-04-17,20,vs_sma50,0.10441888376011284
2026-04-17,20,vs_sma20,0.0034439186456040245
2026-04-17,20,rule5,0.05640497074677214
2026-04-17,20,rule5_mom20,0.04297534305983355
